ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
T-d0e9c2,A-0f6450,2024-02-27,2024-02-28 12:00:00,36.0,medium,112,,False
T-62d8ce,A-50f3f7,2024-09-01,2024-09-02 02:00:00,26.0,low,165,5.0,False
T-2a24d4,A-8145a0,2023-08-19,2023-08-19 17:00:00,17.0,urgent,87,3.0,False
T-a3d1d0,A-c58f49,2023-08-24,2023-08-25 20:00:00,44.0,urgent,54,,False
T-ade86f,A-e3bd71,2024-01-25,2024-01-25 16:00:00,16.0,low,96,,False
T-b8e4c5,A-ef84cf,2023-11-03,2023-11-04 10:00:00,34.0,low,98,,False
T-ffeda5,A-560d27,2023-11-12,2023-11-13 16:00:00,40.0,medium,90,,False
T-e938bb,A-832ec2,2024-07-24,2024-07-26 06:00:00,54.0,medium,171,4.0,False
T-85af66,A-1f7acb,2024-01-12,2024-01-12 13:00:00,13.0,medium,165,,False
T-e13c08,A-de58ca,2023-12-28,2023-12-28 06:00:00,6.0,low,23,,False
T-f365f1,A-9779ad,2024-10-14,2024-10-15 19:00:00,43.0,medium,161,5.0,False
T-dd45ee,A-8ed5dd,2024-12-09,2024-12-09 08:00:00,8.0,high,97,3.0,False
T-59d842,A-158f4e,2024-08-05,2024-08-07 19:00:00,67.0,medium,168,4.0,False
T-4a12e6,A-d42431,2024-08-07,2024-08-08 23:00:00,47.0,urgent,108,5.0,False
T-3bfb51,A-425e76,2024-05-07,2024-05-07 23:00:00,23.0,high,60,,False
T-d3391b,A-cb5333,2023-11-25,2023-11-27 17:00:00,65.0,low,165,,False
T-ae6671,A-798a3f,2023-07-16,2023-07-18 10:00:00,58.0,urgent,112,,False
T-300e16,A-22d9d2,2024-10-15,2024-10-15 04:00:00,4.0,urgent,131,3.0,True
T-167962,A-e3bd71,2023-11-09,2023-11-10 08:00:00,32.0,high,143,3.0,False
T-1760ba,A-0b0d6d,2023-08-03,2023-08-04 12:00:00,36.0,medium,1,3.0,False
T-a231f8,A-76fa4d,2023-04-19,2023-04-19 22:00:00,22.0,high,177,4.0,False
T-706693,A-b54c01,2023-12-31,2024-01-01 14:00:00,38.0,medium,19,3.0,False
T-fe8af7,A-90a8c8,2023-10-13,2023-10-14 00:00:00,24.0,low,33,3.0,False
T-a427d8,A-4ef964,2023-03-24,2023-03-24 05:00:00,5.0,high,61,3.0,False
T-30b4eb,A-104f1a,2024-12-30,2024-12-30 12:00:00,12.0,medium,37,,False
T-abb562,A-700ade,2023-09-08,2023-09-08 12:00:00,12.0,low,6,5.0,False
T-a819c9,A-139c3b,2023-07-11,2023-07-13 14:00:00,62.0,urgent,38,,False
T-36d4a7,A-902ef7,2024-07-07,2024-07-08 13:00:00,37.0,urgent,130,,False
T-5c2f82,A-1f559b,2023-12-13,2023-12-15 20:00:00,68.0,urgent,143,4.0,False
T-701980,A-ced9aa,2023-09-15,2023-09-15 20:00:00,20.0,low,125,3.0,False
T-5f6c15,A-e43bf7,2024-12-25,2024-12-25 05:00:00,5.0,medium,26,3.0,False
T-07593c,A-310452,2023-11-24,2023-11-24 11:00:00,11.0,medium,145,3.0,False
T-6807e7,A-a33200,2023-08-23,2023-08-23 16:00:00,16.0,low,118,4.0,False
T-027d8f,A-508199,2024-03-23,2024-03-24 20:00:00,44.0,urgent,27,,False
T-3798d5,A-5ed98d,2024-03-28,2024-03-28 12:00:00,12.0,medium,56,,False
T-763f2d,A-118f1c,2023-06-22,2023-06-24 16:00:00,64.0,medium,141,3.0,False
T-196fca,A-6843f2,2024-04-27,2024-04-29 13:00:00,61.0,high,22,3.0,False
T-b2adad,A-54ecc2,2024-10-29,2024-10-31 09:00:00,57.0,medium,20,5.0,False
T-37b69f,A-bb1eaa,2024-05-21,2024-05-21 01:00:00,1.0,urgent,114,4.0,False
T-f873ff,A-9123ac,2023-04-21,2023-04-22 16:00:00,40.0,low,73,4.0,False
T-2a2ecd,A-533452,2023-10-26,2023-10-27 23:00:00,47.0,medium,30,,False
T-b29471,A-44dc83,2023-06-11,2023-06-12 16:00:00,40.0,high,53,4.0,False
T-c32093,A-313be3,2023-01-27,2023-01-27 08:00:00,8.0,urgent,41,,False
T-f0f18c,A-ed510f,2023-03-31,2023-04-02 16:00:00,64.0,high,137,,False
T-4c7b15,A-443f6f,2023-01-22,2023-01-24 02:00:00,50.0,low,126,5.0,False
T-ca36f7,A-812c5b,2023-02-28,2023-03-01 14:00:00,38.0,high,108,4.0,False
T-a1bab0,A-45ce7a,2023-04-25,2023-04-27 02:00:00,50.0,medium,141,4.0,False
T-5daa6c,A-f44180,2024-04-28,2024-04-29 08:00:00,32.0,low,157,5.0,False
T-ea0979,A-855a48,2024-06-30,2024-07-01 14:00:00,38.0,urgent,177,,False
T-308071,A-f51f16,2023-04-16,2023-04-17 11:00:00,35.0,high,10,3.0,False
T-ed091b,A-09316c,2023-08-12,2023-08-14 10:00:00,58.0,medium,129,4.0,False
T-fd14d8,A-751c58,2023-06-21,2023-06-23 01:00:00,49.0,medium,178,,False
T-3a3a53,A-139c3b,2024-12-18,2024-12-19 02:00:00,26.0,medium,89,5.0,False
T-35ae60,A-7641d3,2023-12-17,2023-12-19 22:00:00,70.0,medium,174,,False
T-93f5f0,A-3c1a3f,2023-08-04,2023-08-04 05:00:00,5.0,low,20,,False
T-0a835d,A-0aaf6e,2023-11-06,2023-11-08 08:00:00,56.0,low,14,,False
T-a79931,A-b179bf,2023-08-23,2023-08-25 05:00:00,53.0,low,94,4.0,False
T-54b348,A-50f3f7,2023-05-31,2023-06-02 07:00:00,55.0,low,41,,False
T-ee77ae,A-8ed5dd,2024-05-17,2024-05-19 03:00:00,51.0,low,87,,False
T-fb798a,A-8bde0c,2024-11-07,2024-11-07 09:00:00,9.0,medium,64,,False
T-b0b086,A-bb3bd4,2023-02-18,2023-02-19 11:00:00,35.0,medium,65,5.0,False
T-6de710,A-7da956,2024-02-04,2024-02-05 18:00:00,42.0,low,55,,False
T-d319e4,A-eb7c38,2024-03-04,2024-03-05 01:00:00,25.0,low,46,,False
T-041287,A-34ea2f,2024-07-15,2024-07-17 22:00:00,70.0,urgent,19,4.0,False
T-496c6b,A-1e1b80,2024-08-23,2024-08-25 21:00:00,69.0,low,150,3.0,False
T-d92e2e,A-712426,2024-07-18,2024-07-20 19:00:00,67.0,high,67,4.0,False
T-6f8270,A-dbc825,2023-11-11,2023-11-14 00:00:00,72.0,high,118,3.0,False
T-2a21f8,A-1f7acb,2024-05-30,2024-05-30 08:00:00,8.0,medium,92,4.0,False
T-08e86b,A-9f9299,2023-10-05,2023-10-05 03:00:00,3.0,urgent,160,,False
T-bdbc42,A-31ab9a,2024-09-09,2024-09-11 14:00:00,62.0,urgent,90,4.0,False
T-996921,A-751bd4,2024-11-13,2024-11-14 17:00:00,41.0,urgent,124,5.0,False
T-c722ef,A-ced9aa,2023-09-17,2023-09-17 18:00:00,18.0,low,69,,False
T-100066,A-7f6b86,2023-01-11,2023-01-13 00:00:00,48.0,high,166,,False
T-51307e,A-b78bf8,2023-09-15,2023-09-16 16:00:00,40.0,low,93,5.0,False
T-e545b2,A-dfbd31,2024-01-09,2024-01-10 21:00:00,45.0,low,158,5.0,False
T-5a402d,A-e7beab,2023-04-25,2023-04-27 15:00:00,63.0,low,138,3.0,False
T-287b04,A-92a333,2023-05-07,2023-05-08 01:00:00,25.0,low,11,,False
T-2c61f3,A-4bfa33,2024-06-29,2024-06-29 16:00:00,16.0,high,180,3.0,False
T-c2b413,A-90a8c8,2024-03-31,2024-04-02 22:00:00,70.0,urgent,13,3.0,False
T-a7489c,A-7e0a10,2024-01-24,2024-01-26 20:00:00,68.0,high,72,,False
T-011d5c,A-a09355,2023-05-13,2023-05-15 15:00:00,63.0,urgent,34,3.0,False
T-af4249,A-dec005,2023-10-02,2023-10-04 18:00:00,66.0,low,180,3.0,False
T-2904e8,A-692f18,2024-11-11,2024-11-11 20:00:00,20.0,low,144,,False
T-a9333e,A-5ed98d,2024-09-06,2024-09-09 00:00:00,72.0,medium,77,,False
T-4d5bca,A-970c97,2023-01-29,2023-01-31 13:00:00,61.0,urgent,139,5.0,False
T-f0d824,A-b9f5b1,2023-12-01,2023-12-02 04:00:00,28.0,urgent,165,3.0,False
T-05b5f6,A-cc1d8d,2024-03-05,2024-03-06 16:00:00,40.0,high,137,,False
T-246510,A-bb3bd4,2024-09-29,2024-09-30 17:00:00,41.0,high,160,5.0,False
T-e7f66c,A-241e75,2023-04-25,2023-04-27 04:00:00,52.0,low,136,,False
T-dcb2e1,A-34d880,2023-10-10,2023-10-12 13:00:00,61.0,medium,78,3.0,False
T-0e3932,A-118d55,2024-12-09,2024-12-09 11:00:00,11.0,medium,32,4.0,False
T-52fd00,A-0532a9,2023-01-29,2023-01-29 07:00:00,7.0,medium,49,,False
T-d5e01b,A-de24d5,2023-12-29,2023-12-29 01:00:00,1.0,high,177,,False
T-5a765e,A-3cc791,2024-02-27,2024-02-29 23:00:00,71.0,high,38,5.0,False
T-1bc086,A-00cac8,2023-09-15,2023-09-15 01:00:00,1.0,urgent,92,,False
T-30ab22,A-65aeb5,2023-09-01,2023-09-03 05:00:00,53.0,high,146,5.0,False
T-a1ebca,A-712426,2024-12-10,2024-12-11 08:00:00,32.0,medium,43,4.0,False
T-d9e588,A-bbe56f,2024-08-01,2024-08-01 07:00:00,7.0,low,117,3.0,False
T-765765,A-4437e4,2023-08-13,2023-08-14 20:00:00,44.0,high,120,,False
T-848076,A-c42f1f,2023-10-31,2023-10-31 08:00:00,8.0,low,105,3.0,False
T-00644f,A-8adedc,2023-05-22,2023-05-24 18:00:00,66.0,medium,62,,False
T-ec469a,A-e4bf56,2023-07-10,2023-07-12 04:00:00,52.0,urgent,72,5.0,False
T-d1c41b,A-98a59a,2023-03-22,2023-03-23 00:00:00,24.0,high,68,,False
T-090534,A-cc8c8f,2023-11-30,2023-11-30 07:00:00,7.0,urgent,143,4.0,False
T-367cc3,A-b7b7b7,2024-08-31,2024-08-31 01:00:00,1.0,medium,159,5.0,False
T-f86b35,A-139c3b,2024-09-13,2024-09-13 11:00:00,11.0,urgent,108,,False
T-e23a37,A-855a48,2023-05-11,2023-05-11 13:00:00,13.0,high,55,,False
T-776916,A-0a282f,2023-06-12,2023-06-14 17:00:00,65.0,medium,12,5.0,False
T-0854f6,A-310452,2024-01-31,2024-02-02 19:00:00,67.0,urgent,178,3.0,False
T-2c34c5,A-034368,2023-08-29,2023-08-31 17:00:00,65.0,low,34,5.0,False
T-270c25,A-81edc3,2023-12-19,2023-12-21 21:00:00,69.0,high,56,,False
T-f3e69b,A-b7ef83,2024-10-03,2024-10-05 19:00:00,67.0,medium,70,,False
T-2987d9,A-50f3f7,2023-04-17,2023-04-18 06:00:00,30.0,urgent,155,5.0,True
T-da63ee,A-149a69,2023-01-30,2023-01-31 09:00:00,33.0,high,79,5.0,False
T-44b600,A-eafc6e,2023-07-14,2023-07-16 16:00:00,64.0,medium,136,,False
T-4d0d5b,A-5a215a,2024-12-06,2024-12-06 12:00:00,12.0,urgent,126,4.0,False
T-7cca37,A-dbc825,2024-10-02,2024-10-03 16:00:00,40.0,medium,128,5.0,True
T-122749,A-4e960a,2024-01-14,2024-01-15 19:00:00,43.0,low,77,,False
T-27d61d,A-c7e58b,2024-01-25,2024-01-25 13:00:00,13.0,medium,171,4.0,False
T-86e757,A-82d8a6,2023-10-29,2023-10-31 03:00:00,51.0,high,129,,False
T-13e2c4,A-92a3af,2024-03-17,2024-03-19 23:00:00,71.0,medium,29,5.0,False
T-df9759,A-b7724f,2024-12-30,2024-12-30 15:00:00,15.0,medium,86,3.0,False
T-c556c6,A-7c5768,2024-11-21,2024-11-23 02:00:00,50.0,high,39,4.0,False
T-e57828,A-883b7d,2023-04-16,2023-04-17 19:00:00,43.0,high,52,,False
T-fc25d0,A-fd7ad3,2024-08-17,2024-08-19 13:00:00,61.0,high,138,,False
T-743f15,A-d49cc5,2024-12-21,2024-12-23 16:00:00,64.0,urgent,2,,False
T-9bbea1,A-b54c01,2023-02-06,2023-02-08 04:00:00,52.0,low,172,,False
T-9bf64e,A-3ce5b8,2023-10-07,2023-10-08 05:00:00,29.0,high,87,,False
T-7cefd9,A-7920cc,2023-03-31,2023-04-02 15:00:00,63.0,medium,146,5.0,False
T-9717fc,A-cea1f0,2024-05-11,2024-05-13 09:00:00,57.0,medium,145,,False
T-b43464,A-08e34e,2024-07-15,2024-07-17 20:00:00,68.0,high,67,3.0,False
T-29abed,A-cd458b,2024-03-28,2024-03-30 02:00:00,50.0,urgent,39,5.0,False
T-4e24d4,A-b3fe05,2023-05-29,2023-05-31 18:00:00,66.0,urgent,75,,False
T-990f20,A-6a7c9d,2024-08-15,2024-08-16 04:00:00,28.0,medium,42,3.0,False
T-618d10,A-afa505,2024-09-25,2024-09-25 19:00:00,19.0,urgent,130,,False
T-9736d7,A-d4e0d4,2023-08-12,2023-08-12 19:00:00,19.0,medium,66,,False
T-7a48cd,A-4c38bc,2024-07-27,2024-07-29 18:00:00,66.0,medium,37,4.0,False
T-8f1182,A-fa3095,2023-05-25,2023-05-27 02:00:00,50.0,high,98,,False
T-926ee8,A-5a92e7,2023-06-17,2023-06-19 20:00:00,68.0,high,9,5.0,False
T-21c5ae,A-9123ac,2024-11-18,2024-11-19 13:00:00,37.0,urgent,77,4.0,False
T-7d1efb,A-eb2fdc,2023-12-18,2023-12-19 22:00:00,46.0,medium,16,,False
T-bad86e,A-7c6b6b,2024-09-10,2024-09-12 20:00:00,68.0,high,144,,False
T-818ae1,A-6965e1,2024-07-27,2024-07-29 09:00:00,57.0,low,55,,False
T-e1cf37,A-4c38bc,2023-04-13,2023-04-15 20:00:00,68.0,high,72,3.0,False
T-104009,A-fd7ad3,2023-08-21,2023-08-23 07:00:00,55.0,high,82,,False
T-2b7d40,A-474ad4,2023-04-23,2023-04-25 00:00:00,48.0,medium,65,,True
T-b4f3d9,A-378b99,2023-08-03,2023-08-03 05:00:00,5.0,low,101,5.0,False
T-d6ab6c,A-66224b,2023-12-05,2023-12-05 06:00:00,6.0,urgent,58,3.0,False
T-62b1dd,A-a45270,2024-12-27,2024-12-29 19:00:00,67.0,medium,112,4.0,False
T-cd4a87,A-798a3f,2023-04-08,2023-04-09 21:00:00,45.0,urgent,38,3.0,False
T-3aa54d,A-db5e9e,2024-06-25,2024-06-27 16:00:00,64.0,low,177,5.0,False
